closed_at_utc,symbol,side,qty,exit_price,gross_pnl_usdt,exit_fee_usdt,notional_usdt,role,planned_risk_usdt,strategy_tag,rule_violation,note
2025-06-02 13:16:51,BTCUSDT,short,0.2619,99418.2,-253.14,5.2075,26037.63,taker,150,B,,
2025-06-04 10:14:15,BTCUSDT,long,0.4453,101665.8,134.4,9.0544,45271.77,taker,150,A,,
2025-06-04 22:13:24,BTCUSDT,long,0.206,104080.0,-114.43,4.2881,21440.47,maker,150,B,,
2025-06-05 02:15:56,BTCUSDT,long,0.8088,104818.5,-143.99,16.9554,84777.19,taker,150,A,,
2025-06-06 22:51:01,BTCUSDT,short,0.9759,105076.6,-253.07,20.5089,102544.28,taker,150,C,,
2025-06-08 08:57:58,BTCUSDT,short,0.1999,106135.0,-92.07,4.2433,21216.39,taker,150,A,,
2025-06-10 10:40:17,BTCUSDT,long,0.1683,103834.9,-210.88,3.4951,17475.41,taker,150,C,,
2025-06-10 23:21:56,BTCUSDT,long,0.2661,105598.2,35.77,5.6199,28099.69,taker,150,B,,
2025-06-11 08:15:53,BTCUSDT,short,0.323,105183.7,262.97,6.7949,33974.34,taker,150,B,,
2025-06-13 17:55:37,BTCUSDT,short,0.5624,103628.6,-147.84,11.6561,58280.71,taker,150,A,,
2025-06-16 00:26:29,BTCUSDT,long,0.8155,104396.7,-174.74,17.0271,85135.5,maker,150,B,,
2025-06-18 07:31:11,BTCUSDT,short,0.1899,102775.9,331.18,3.9034,19517.15,taker,150,C,,
2025-06-19 17:48:03,BTCUSDT,short,0.4702,103635.6,416.31,9.7459,48729.47,taker,150,C,,
2025-06-21 05:25:20,BTCUSDT,long,0.5525,104965.6,-214.09,11.5987,57993.49,taker,150,B,,
2025-06-22 03:57:24,BTCUSDT,short,1.111,103782.4,-115.93,23.0604,115302.21,taker,150,B,,
2025-06-23 00:16:00,BTCUSDT,short,0.173,104536.1,-125.73,3.6169,18084.74,taker,150,B,,
2025-06-25 03:07:50,BTCUSDT,long,0.1309,101648.0,-301.45,2.6611,13305.72,maker,150,A,,
2025-06-26 10:30:35,BTCUSDT,short,0.4893,99887.7,355.06,9.775,48875.03,taker,150,B,,
2025-06-27 04:42:57,BTCUSDT,short,0.6567,99021.3,-84.59,13.0055,65027.27,maker,150,A,,
2025-06-28 01:11:50,BTCUSDT,short,0.7224,98822.7,-30.65,14.2779,71389.49,maker,150,A,,
2025-06-30 04:36:20,BTCUSDT,short,1.0991,96436.5,-202.43,21.1987,105993.34,maker,150,B,,
2025-07-01 08:59:26,BTCUSDT,long,0.4849,92457.6,-43.76,8.9665,44832.7,taker,150,C,,
